list-none-none,1,10,1,30,67608,2253
list-none-none,1,100,1,300,76451,254
list-none-none,1,1000,1,3000,239519,79
list-none-none,1,10000,1,30000,690924,23
list-none-none,1,20000,1,60000,1493709,24
list-none-none,2,10,1,60,134517,2241
list-none-none,2,100,1,600,135629,226
list-none-none,4,10,1,120,191142,1592
list-none-none,4,100,1,1200,189690,158
list-none-none,12,10,1,360,419913,1166
list-none-none,2,1,1,6,131289,21881
list-none-none,2,100,1,600,93534,155
list-none-none,4,1,1,12,132301,11025
list-none-none,4,10,1,120,183980,1533
list-none-none,4,100,1,1200,189993,158
list-none-none,8,1,1,24,296610,12358
list-none-none,8,10,1,240,271624,1131
list-none-none,12,1,1,36,339140,9420
list-none-none,12,10,1,360,349110,969
list-i-none,2,1,1,6,140541,23423
list-i-none,2,2,1,12,134978,11248
list-i-none,2,4,1,24,142031,5917
list-i-none,2,8,1,48,149869,3122
list-i-none,4,1,1,12,191530,15960
list-i-none,4,2,1,24,190451,7935
list-i-none,4,4,1,48,194594,4054
list-i-none,8,2,1,48,218628,4554
list-i-none,12,1,1,36,372977,10360
list-d-none,2,1,1,6,117493,19582
list-d-none,2,2,1,12,126960,10580
list-d-none,2,4,1,24,133142,5547
list-d-none,2,8,1,48,138203,2879
list-d-none,4,1,1,12,196581,16381
list-d-none,4,2,1,24,188466,7852
list-d-none,4,4,1,48,193015,4021
list-d-none,8,4,1,96,233582,2433
list-d-none,8,8,1,192,280294,1459
list-d-none,12,1,1,36,347245,9645
list-d-none,12,2,1,72,357171,4960
list-il-none,2,1,1,6,76680,12780
list-il-none,2,2,1,12,87912,7326
list-il-none,4,1,1,12,171754,14312
list-il-none,4,4,1,48,203425,4238
list-il-none,8,1,1,24,242794,10116
list-il-none,12,1,1,36,364525,10125
list-il-none,12,2,1,72,316270,4392
list-il-none,12,4,1,144,393775,2734
list-dl-none,2,1,1,6,76683,12780
list-dl-none,2,2,1,12,109138,9094
list-dl-none,2,4,1,24,133491,5562
list-dl-none,2,8,1,48,141465,2947
list-dl-none,2,16,1,96,153518,1599
list-dl-none,2,32,1,192,252136,1313
list-dl-none,4,1,1,12,134115,11176
list-dl-none,4,2,1,24,126199,5258
list-dl-none,4,4,1,48,133380,2778
list-dl-none,8,1,1,24,312002,13000
list-dl-none,12,1,1,36,422739,11742
list-dl-none,12,2,1,72,356535,4951
list-dl-none,12,4,1,144,359033,2493
list-i-m,2,1,1,6,73945,12324
list-i-m,2,2,1,12,127611,10634
list-i-m,2,4,1,24,136593,5691
list-i-m,2,8,1,48,145173,3024
list-i-m,2,16,1,96,206224,2148
list-i-m,2,32,1,192,346700,1805
list-i-m,4,1,1,12,145599,12133
list-i-m,4,2,1,24,128271,5344
